Rank,Bank name,Market cap (US$ billion),MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
1,JPMorgan Chase,432.9,324.67,367.96,32251.05
2,Bank of America,231.5,173.62,196.78,17246.75
3,Industrial and Commercial Bank of China,194.5,145.88,165.32,14490.25
4,Agricultural Bank of China,160.6,120.45,136.51,11964.7
5,HDFC Bank,157.9,118.43,134.22,11763.55
6,Wells Fargo,155.8,116.85,132.43,11607.1
7,HSBC Holdings PLC,148.0,111.0,125.8,11026.0
8,Morgan Stanley,140.8,105.6,119.68,10489.6
9,China Construction Bank,139.8,104.85,118.83,10415.1
10,Bank of China,136.8,102.6,116.28,10191.6
